,name,transformer_roc,autogluon_roc,transformer_cross_entropy,autogluon_cross_entropy,transformer_time,autogluon_time,number_of_input_columns,number_of_rows,missingness,number_of_classes
0,sanjanchaudhari/user-behavior-on-instagram,0.945488,0.936076,0.2321418672800064,0.30577969551086426,2.921938896179199,63.104156494140625,2,7488,False,2
1,blastchar/telco-customer-churn,0.8149736875882427,0.7979283788987294,0.4503362476825714,0.4622604548931122,0.0675661563873291,72.85863828659058,3,7043,False,2
2,bravehart101/sample-supermarket-dataset,0.7925249212028502,0.7924816466703533,0.8697014451026917,0.8835918307304382,0.07303404808044434,82.17389965057373,3,9994,False,3
3,vikramamin/customer-churn-decision-tree-and-random-forest,0.8149736875882427,0.7979283788987294,0.4503362476825714,0.4622604548931122,0.067413330078125,72.21371984481812,3,7043,False,2
4,bhuviranga/customer-segmentation,0.6715474322249507,0.6801073968983372,1.3123899698257446,1.3248517513275146,0.07989025115966797,79.58505201339722,3,10695,True,4
5,roopacalistus/superstore,0.7278151311971731,0.7450645168924064,0.9041047692298889,0.9102641940116882,0.07384419441223145,81.31530714035034,3,9994,False,3
6,kaushiksuresh147/customer-segmentation,0.7042700206356406,0.6943363645280888,1.2861636877059937,1.3039590120315552,0.08612227439880371,79.38046503067017,3,8068,True,4
7,avikumart/hrdatasetclassif,0.6975323423009467,0.6688271345271455,0.4496399164199829,0.4701523780822754,1.9705326557159424,65.5366563796997,7,8995,False,2
8,itssuru/super-store,0.7741971921008551,0.7864441690975675,0.8806633353233337,0.8763386607170105,1.4498741626739502,65.29552149772644,4,9994,False,3
9,scarfsman/magic-the-gathering-winning-pioneer-decks,0.9532120152859882,0.9895026042494331,0.9459260106086731,0.8508522510528564,1.4491584300994873,199.11691784858704,4,2306,True,4
10,abisheksudarshan/customer-segmentation,0.7072190509531914,0.6575649357424896,2.1226806640625,2.1380274295806885,1.529247760772705,97.98992919921875,3,2627,True,9
11,sathyanarayanrao89/banknifty-historical-from-2000-to-2022,0.9954937044400265,0.9905275418197883,0.6368619799613953,0.6678438782691956,1.7792866230010986,82.4836597442627,7,5569,False,3
12,williamschooleman/scoobydoo-complete,0.6525402196276741,0.6266928600348693,0.7560271620750427,0.7879770994186401,0.3750467300415039,81.69803285598755,10,604,True,2
13,ankanhore545/dropout-or-academic-success,0.8596690842438539,0.8648711157570124,0.8131171464920044,0.8190282583236694,1.7245128154754639,82.67274475097656,36,4424,False,3
14,timoboz/completely-random-dataset,0.4762429430136274,0.5224799634869388,1.0142544507980347,1.099656581878662,0.5770599842071533,81.05795526504517,5,999,True,2
15,maryalebron/life-expectancy-data,0.9590885451778801,0.8903827262746307,0.21236571669578552,0.9739380478858948,1.6000754833221436,73.09652853012085,23,2938,True,2
16,prashantk93/supply-chain-management-for-car,0.5072873724029956,0.5036851556237744,1.6091915369033813,1.6090623140335083,0.589874267578125,83.70579290390015,4,1000,False,5
17,ibrahimelsayed182/superstore,0.7741971921008551,0.7877963814719965,0.8806633353233337,0.8825328350067139,1.5709304809570312,69.75332927703857,4,9994,False,3
18,sdelquin/laliga-data2,0.7662575833820456,0.8415788906875383,1.4452406167984009,1.3566807508468628,1.5151317119598389,79.34591913223267,3,1957,True,4
19,unanimad/disney-plus-shows,0.8192358921888538,0.8248790934621364,0.990667998790741,1.0490463972091675,0.5525555610656738,72.31806373596191,2,992,True,3
20,kukuroo3/used-car-price-dataset-competition-format,0.9289931824202893,0.9675435663914844,1.8837499618530273,1.6596341133117676,1.5464580059051514,100.49870133399963,5,4960,False,9
21,ropali/used-bike-price-in-india,0.5748058591712311,0.5398679815195183,0.9309321641921997,1.0096712112426758,1.3909697532653809,69.85424780845642,2,7857,True,4
22,neerajrikhari/analysis-of-super-store,0.7278124371155315,0.7512033474411153,0.9041051864624023,0.9066619277000427,1.4510743618011475,70.00287461280823,3,9994,False,3
23,alexanderbader/forbes-billionaires-2021-30,0.4799904816679616,0.5214908484619504,0.8822668790817261,0.8802381157875061,1.4881889820098877,69.86404156684875,3,2755,True,2
24,soheiltehranipour/it-customer-churn,0.8149736875882427,0.7946938775510204,0.45033636689186096,0.4634782075881958,1.4948077201843262,65.53668427467346,3,7043,False,2
25,kingburrito666/the-demographic-rforeveralone-dataset,0.5471291866028709,0.5111244019138756,0.4971472918987274,0.5548568964004517,0.23181462287902832,66.04403233528137,2,469,True,2
26,mrpantherson/dndspells,0.5317291384670391,0.5409423727169553,2.0529842376708984,2.061634063720703,0.29854822158813477,87.07801842689514,4,554,True,8
27,puja19/telcom-customer-churn,0.8149736875882427,0.7991657040174561,0.45033636689186096,0.4601629078388214,1.4732680320739746,67.17633104324341,3,7043,False,2
28,abhishekbagwan/urban-areascsv,0.9956389786309954,0.9955143780204524,0.06569524109363556,0.06445898860692978,1.475651502609253,66.82031083106995,2,3601,False,2
29,mysarahmadbhat/sales-data,0.490892736646213,0.5218580973840207,1.3870562314987183,1.385749340057373,1.4882221221923828,72.71209788322449,3,5000,True,4
30,obeykhadija/drug-consumptions-uci,0.6752321527305132,0.6673010169745723,1.8416008949279785,1.8770726919174194,1.4694194793701172,78.86972999572754,7,1884,False,7
31,vittoriogiatti/unsdg-united-nations-sustainable-development-group,0.8486836244129989,0.8634605991885932,1.308797001838684,1.2386761903762817,1.5397052764892578,79.01193594932556,9,5176,True,5
32,akash1vishwakarma/machine-readable-business-employment-dataset,0.8640239600752508,0.8668106651802304,0.8263729810714722,0.8373664617538452,1.4532380104064941,69.71960401535034,3,21415,True,3
33,ishaanthareja007/samplesuperstore,0.7925260990174373,0.7910680322492674,0.8697017431259155,0.882771909236908,1.4634652137756348,69.45158386230469,3,9993,False,3
34,bergurtamimi/premier-league-odds-history,0.6639036777999809,0.6551732840105307,1.0111379623413086,1.026991367340088,1.4555604457855225,69.88907957077026,9,7510,False,3
35,sayansh001/crystal-structure-classification,0.6327882335846369,0.6572156402625153,1.3003878593444824,1.2931129932403564,1.4923911094665527,74.8492796421051,10,5329,False,5
