,name,transformer_roc,autogluon_roc,transformer_cross_entropy,autogluon_cross_entropy,transformer_time,autogluon_time,number_of_input_columns,number_of_rows,missingness,number_of_classes
0,sanjanchaudhari/user-behavior-on-instagram,0.9454880000000001,0.9410680000000001,0.23214133083820343,0.2382584661245346,7.229822874069214,302.66389894485474,2,7488,False,2
1,blastchar/telco-customer-churn,0.8149736875882427,0.8127608779360801,0.45033636689186096,0.44953861832618713,6.356398582458496,301.98460626602173,3,7043,False,2
2,bravehart101/sample-supermarket-dataset,0.7278124371155315,0.7563015855712893,0.9041051864624023,0.8946358561515808,2.209122657775879,314.4627730846405,3,9994,False,3
3,vikramamin/customer-churn-decision-tree-and-random-forest,0.8149736875882427,0.8126890001283532,0.45033636689186096,0.44942134618759155,1.9708597660064697,308.29790329933167,3,7043,False,2
4,bhuviranga/customer-segmentation,0.667380963766366,0.6688757124244825,1.318397045135498,1.3229597806930542,1.906752586364746,322.08625173568726,3,10695,True,4
5,roopacalistus/superstore,0.7278124371155315,0.7559485458024205,0.9041051864624023,0.89404296875,2.2342536449432373,327.1361711025238,3,9994,False,3
6,kaushiksuresh147/customer-segmentation,0.6874695720081988,0.6714220191578487,1.2995339632034302,1.3070746660232544,2.1104331016540527,311.8473160266876,3,8068,True,4
7,avikumart/hrdatasetclassif,0.6975323423009467,0.7039716798581404,0.4496399164199829,0.44508183002471924,2.4753007888793945,312.936683177948,7,8995,False,2
8,itssuru/super-store,0.7741971921008551,0.7947030252885185,0.8806633353233337,0.8755926489830017,2.2051143646240234,309.81031942367554,4,9994,False,3
9,scarfsman/magic-the-gathering-winning-pioneer-decks,0.9532120152859882,0.9891240568475966,0.9459260106086731,0.8377872109413147,2.3249101638793945,320.0643286705017,4,2306,True,4
10,abisheksudarshan/customer-segmentation,0.7072190509531914,0.3221788373863916,2.1226806640625,2.302696466445923,2.399920701980591,360.5442154407501,3,2627,True,9
11,sathyanarayanrao89/banknifty-historical-from-2000-to-2022,0.9954937044400265,0.9941649764711394,0.6368619799613953,0.6459628939628601,2.35983943939209,320.860897064209,7,5569,False,3
12,williamschooleman/scoobydoo-complete,0.6525402196276741,0.6376845723540153,0.7560271620750427,0.7635436654090881,0.5108203887939453,322.9054186344147,10,604,True,2
13,ankanhore545/dropout-or-academic-success,0.8596690842438539,0.8646060946734228,0.8131171464920044,0.8157639503479004,2.672981023788452,305.8518097400665,36,4424,False,3
14,timoboz/completely-random-dataset,0.4762429430136274,0.49299358796450804,1.0142544507980347,1.0291469097137451,0.6915998458862305,309.5101499557495,5,999,True,2
15,maryalebron/life-expectancy-data,0.9590885451778801,0.9155575245102762,0.21236571669578552,0.31294769048690796,2.2875969409942627,311.04678678512573,23,2938,True,2
16,prashantk93/supply-chain-management-for-car,0.5072873724029956,0.4956231814244056,1.6091915369033813,1.6099094152450562,0.8355326652526855,320.6607530117035,4,1000,False,5
17,ibrahimelsayed182/superstore,0.7741971921008551,0.7912017209739374,0.8806633353233337,0.8781626224517822,3.0204548835754395,311.44316053390503,4,9994,False,3
18,sdelquin/laliga-data2,0.7662575833820456,0.8433764151940709,1.4452406167984009,1.3303182125091553,2.0059943199157715,322.80801582336426,3,1957,True,4
19,unanimad/disney-plus-shows,0.8192358921888538,0.8331197881139808,0.990667998790741,0.9558535218238831,0.7487232685089111,315.41432785987854,2,992,True,3
20,kukuroo3/used-car-price-dataset-competition-format,0.9289931824202893,0.9699090777000205,1.8837499618530273,1.6550650596618652,2.471223831176758,346.2904899120331,5,4960,False,9
